Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn
7.556831257921679423e+00,2.323817280248569261e+00,2.177286642970262847e+02,9.369439936075211506e+01,2.800000000000000000e+01
7.556831257921679423e+00,2.323817280248572814e+00,9.369439936075207243e+01,2.177286642970264836e+02,2.800000000000000000e+01
7.556831257921679423e+00,2.323817280248572814e+00,2.177286642970266826e+02,9.369439936075214348e+01,2.800000000000000000e+01
7.556831257921679423e+00,2.323817280248580364e+00,9.369439936075178821e+01,2.177286642970265405e+02,2.800000000000000000e+01
1.287840915661024788e+01,2.063113864102275929e+00,4.174033451043786727e+02,2.023171635686737204e+02,4.400000000000000000e+01
1.287840915661024788e+01,2.063113864102276818e+00,2.023171635686736636e+02,4.174033451043786727e+02,4.400000000000000000e+01
1.287840915661024788e+01,2.063113864102277706e+00,4.174033451043791274e+02,2.023171635686737773e+02,4.400000000000000000e+01
1.287840915661024788e+01,2.063113864102276818e+00,2.023171635686737204e+02,4.174033451043787863e+02,4.400000000000000000e+01
1.101613760506260142e+01,2.455232723767450942e+00,3.953353023129789676e+02,1.610174459170426928e+02,2.900000000000000000e+01
1.101613760506260142e+01,2.455232723767453162e+00,1.610174459170427212e+02,3.953353023129793655e+02,2.900000000000000000e+01
1.101613760506260142e+01,2.455232723767455383e+00,3.953353023129798771e+02,1.610174459170427781e+02,2.900000000000000000e+01
1.101613760506260142e+01,2.455232723767448721e+00,1.610174459170430055e+02,3.953353023129793655e+02,2.900000000000000000e+01
9.122491154569672744e+00,1.462678850603692071e+00,2.337830346661928047e+02,1.598321016056965789e+02,2.500000000000000000e+01
9.122491154569672744e+00,1.462678850603692959e+00,1.598321016056961241e+02,2.337830346661922931e+02,2.500000000000000000e+01
9.122491154569672744e+00,1.462678850603685854e+00,2.337830346661918384e+02,1.598321016056966073e+02,2.500000000000000000e+01
9.122491154569672744e+00,1.462678850603695402e+00,1.598321016056959820e+02,2.337830346661924352e+02,2.500000000000000000e+01
1.026740368874435205e+01,2.634221794749220358e+00,4.719483961834405932e+02,1.791604629208416384e+02,3.700000000000000000e+01
1.026740368874435205e+01,2.634221794749219470e+00,1.791604629208417236e+02,4.719483961834406500e+02,3.700000000000000000e+01
1.026740368874435205e+01,2.634221794749218137e+00,4.719483961834403090e+02,1.791604629208416668e+02,3.700000000000000000e+01
