white,black
7.350000000000000000e+02,4.741000000000000000e+03
7.350000000000000000e+02,4.449000000000000000e+03
7.350000000000000000e+02,4.741000000000000000e+03
7.350000000000000000e+02,4.741000000000000000e+03
9.980000000000000000e+02,6.746000000000000000e+03
1.007000000000000000e+03,6.737000000000000000e+03
1.007000000000000000e+03,6.389000000000000000e+03
9.980000000000000000e+02,6.746000000000000000e+03
9.150000000000000000e+02,5.169000000000000000e+03
9.140000000000000000e+02,4.862000000000000000e+03
9.150000000000000000e+02,4.561000000000000000e+03
9.150000000000000000e+02,4.861000000000000000e+03
8.370000000000000000e+02,5.563000000000000000e+03
8.370000000000000000e+02,5.563000000000000000e+03
8.370000000000000000e+02,5.563000000000000000e+03
8.370000000000000000e+02,5.887000000000000000e+03
9.820000000000000000e+02,6.414000000000000000e+03
9.820000000000000000e+02,6.074000000000000000e+03
9.820000000000000000e+02,6.074000000000000000e+03
9.820000000000000000e+02,6.414000000000000000e+03
6.750000000000000000e+02,4.225000000000000000e+03
6.750000000000000000e+02,3.949000000000000000e+03
6.750000000000000000e+02,4.225000000000000000e+03
6.750000000000000000e+02,4.509000000000000000e+03
9.270000000000000000e+02,6.129000000000000000e+03
9.270000000000000000e+02,5.797000000000000000e+03
9.270000000000000000e+02,6.129000000000000000e+03
9.270000000000000000e+02,6.469000000000000000e+03
1.011000000000000000e+03,4.465000000000000000e+03
1.011000000000000000e+03,4.465000000000000000e+03
1.011000000000000000e+03,4.465000000000000000e+03
1.011000000000000000e+03,4.765000000000000000e+03
8.200000000000000000e+02,4.956000000000000000e+03
8.200000000000000000e+02,5.264000000000000000e+03
8.200000000000000000e+02,5.580000000000000000e+03
8.200000000000000000e+02,5.264000000000000000e+03
9.770000000000000000e+02,6.767000000000000000e+03
9.770000000000000000e+02,6.419000000000000000e+03
9.770000000000000000e+02,6.419000000000000000e+03
9.770000000000000000e+02,6.767000000000000000e+03
8.020000000000000000e+02,3.822000000000000000e+03
8.020000000000000000e+02,3.822000000000000000e+03
8.020000000000000000e+02,3.822000000000000000e+03
8.020000000000000000e+02,4.098000000000000000e+03
9.810000000000000000e+02,6.763000000000000000e+03
9.810000000000000000e+02,6.415000000000000000e+03
9.810000000000000000e+02,6.763000000000000000e+03
9.810000000000000000e+02,7.119000000000000000e+03
9.730000000000000000e+02,6.423000000000000000e+03
9.730000000000000000e+02,6.083000000000000000e+03
9.730000000000000000e+02,6.083000000000000000e+03
9.730000000000000000e+02,6.423000000000000000e+03
9.130000000000000000e+02,6.831000000000000000e+03
9.130000000000000000e+02,6.831000000000000000e+03
9.130000000000000000e+02,7.187000000000000000e+03
9.130000000000000000e+02,7.187000000000000000e+03
1.117000000000000000e+03,1.011900000000000000e+04
1.117000000000000000e+03,1.011900000000000000e+04
1.115000000000000000e+03,1.012100000000000000e+04
1.115000000000000000e+03,1.012100000000000000e+04
7.980000000000000000e+02,3.298000000000000000e+03
7.980000000000000000e+02,3.558000000000000000e+03
7.980000000000000000e+02,3.558000000000000000e+03
7.980000000000000000e+02,3.558000000000000000e+03
8.960000000000000000e+02,5.828000000000000000e+03
8.960000000000000000e+02,5.504000000000000000e+03
8.960000000000000000e+02,5.828000000000000000e+03
8.960000000000000000e+02,6.160000000000000000e+03
9.240000000000000000e+02,7.540000000000000000e+03
9.240000000000000000e+02,7.176000000000000000e+03
9.240000000000000000e+02,7.176000000000000000e+03
9.240000000000000000e+02,7.540000000000000000e+03
8.160000000000000000e+02,5.584000000000000000e+03
8.160000000000000000e+02,5.268000000000000000e+03
8.160000000000000000e+02,5.268000000000000000e+03
8.160000000000000000e+02,5.268000000000000000e+03
9.450000000000000000e+02,9.055000000000000000e+03
9.450000000000000000e+02,9.459000000000000000e+03
