Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn
8.427741445725322578e+00,1.479286096206442691e+00,2.685853591528298807e+02,1.815641746661474087e+02,3.300000000000000000e+01
8.427741445725322578e+00,1.479286096206441137e+00,1.815641746661476077e+02,2.685853591528299376e+02,3.300000000000000000e+01
8.427741445725322578e+00,1.479286096206443801e+00,2.685853591528299944e+02,1.815641746661473235e+02,3.300000000000000000e+01
8.427741445725322578e+00,1.479286096206442247e+00,1.815641746661473803e+02,2.685853591528297670e+02,3.300000000000000000e+01
1.070178699765483366e+01,1.940472623721633205e+00,2.599164671220721061e+02,5.043607889048248580e+02,4.400000000000000000e+01
1.070178699765483366e+01,1.940472623721630763e+00,5.043607889048244601e+02,2.599164671220722198e+02,4.400000000000000000e+01
1.070178699765483366e+01,1.940472623721631207e+00,2.599164671220723903e+02,5.043607889048249149e+02,4.400000000000000000e+01
1.070178699765483366e+01,1.940472623721630541e+00,5.043607889048244033e+02,2.599164671220722198e+02,4.400000000000000000e+01
9.356571255518289831e+00,2.913302929809733044e+00,4.244846800069603887e+02,1.457056441551319779e+02,4.600000000000000000e+01
9.356571255518289831e+00,2.913302929809728603e+00,1.457056441551323474e+02,4.244846800069608435e+02,4.600000000000000000e+01
9.356571255518289831e+00,2.913302929809732600e+00,4.244846800069608435e+02,1.457056441551321484e+02,4.600000000000000000e+01
9.356571255518289831e+00,2.913302929809729935e+00,1.457056441551323189e+02,4.244846800069609571e+02,4.600000000000000000e+01
8.844318148819333203e+00,1.517362222053793452e+00,3.117077562644070667e+02,2.054273869046915024e+02,4.900000000000000000e+01
8.844318148819333203e+00,1.517362222053795007e+00,2.054273869046915024e+02,3.117077562644074078e+02,4.900000000000000000e+01
8.844318148819333203e+00,1.517362222053794785e+00,3.117077562644073510e+02,2.054273869046915308e+02,4.900000000000000000e+01
8.844318148819333203e+00,1.517362222053795451e+00,2.054273869046915308e+02,3.117077562644074646e+02,4.900000000000000000e+01
1.079603731844081160e+01,1.778854458211639900e+00,2.382538703450830724e+02,4.238189594495290748e+02,3.400000000000000000e+01
1.079603731844081160e+01,1.778854458211642786e+00,4.238189594495279380e+02,2.382538703450820492e+02,3.400000000000000000e+01
1.079603731844081160e+01,1.778854458211642342e+00,2.382538703450823050e+02,4.238189594495282790e+02,3.400000000000000000e+01
1.079603731844081160e+01,1.778854458211640344e+00,4.238189594495286201e+02,2.382538703450827597e+02,3.400000000000000000e+01
7.908350175961059492e+00,1.650272057502772283e+00,2.518747851105618167e+02,1.526262193954275972e+02,2.400000000000000000e+01
7.908350175961059492e+00,1.650272057502774725e+00,1.526262193954275403e+02,2.518747851105621010e+02,2.400000000000000000e+01
7.908350175961059492e+00,1.650272057502772727e+00,2.518747851105618452e+02,1.526262193954275688e+02,2.400000000000000000e+01
7.908350175961059492e+00,1.650272057502775835e+00,1.526262193954274551e+02,2.518747851105621010e+02,2.400000000000000000e+01
9.123166522132832412e+00,1.423510649486286361e+00,3.434621241368527080e+02,2.412782259555280575e+02,5.800000000000000000e+01
9.123166522132832412e+00,1.423510649486286361e+00,2.412782259555280859e+02,3.434621241368527649e+02,5.800000000000000000e+01
9.123166522132832412e+00,1.423510649486286583e+00,3.434621241368527080e+02,2.412782259555280291e+02,5.800000000000000000e+01
9.123166522132832412e+00,1.423510649486286139e+00,2.412782259555280859e+02,3.434621241368527080e+02,5.800000000000000000e+01
1.060159254703476428e+01,2.159809165072028136e+00,4.320816162276973387e+02,2.000554600912102785e+02,4.600000000000000000e+01
1.060159254703476428e+01,2.159809165072027692e+00,2.000554600912104206e+02,4.320816162276975092e+02,4.600000000000000000e+01
1.060159254703476428e+01,2.159809165072028136e+00,4.320816162276975092e+02,2.000554600912103638e+02,4.600000000000000000e+01
1.060159254703476428e+01,2.159809165072028581e+00,2.000554600912102785e+02,4.320816162276973955e+02,4.600000000000000000e+01
9.266020195949549176e+00,2.426794375201450027e+00,3.802457085832351140e+02,1.566864141720579937e+02,2.400000000000000000e+01
9.266020195949549176e+00,2.426794375201450027e+00,1.566864141720580506e+02,3.802457085832352277e+02,2.400000000000000000e+01
9.266020195949549176e+00,2.426794375201449583e+00,3.802457085832350003e+02,1.566864141720579937e+02,2.400000000000000000e+01
9.266020195949549176e+00,2.426794375201453136e+00,1.566864141720577095e+02,3.802457085832348866e+02,2.400000000000000000e+01
1.109042794592403425e+01,1.435968198592223688e+00,3.716203789050167643e+02,2.587942959108295327e+02,4.900000000000000000e+01
1.109042794592403425e+01,1.435968198592224576e+00,2.587942959108295327e+02,3.716203789050169917e+02,4.900000000000000000e+01
1.109042794592403425e+01,1.435968198592223688e+00,3.716203789050171054e+02,2.587942959108297600e+02,4.900000000000000000e+01
1.109042794592403425e+01,1.435968198592223466e+00,2.587942959108295895e+02,3.716203789050168211e+02,4.900000000000000000e+01
9.049605629521959571e+00,2.017862191925141158e+00,3.041073318613539982e+02,1.507076811678702484e+02,3.600000000000000000e+01
9.049605629521959571e+00,2.017862191925141158e+00,1.507076811678703905e+02,3.041073318613542824e+02,3.600000000000000000e+01
9.049605629521959571e+00,2.017862191925140714e+00,3.041073318613542824e+02,1.507076811678704473e+02,3.600000000000000000e+01
9.049605629521959571e+00,2.017862191925141158e+00,1.507076811678703621e+02,3.041073318613542256e+02,3.600000000000000000e+01
1.045466270164452816e+01,2.467327187552939449e+00,5.719358742648959151e+02,2.318038228371868001e+02,5.200000000000000000e+01
1.045466270164452816e+01,2.467327187552942558e+00,2.318038228371865443e+02,5.719358742648960288e+02,5.200000000000000000e+01
1.045466270164452816e+01,2.467327187552937673e+00,5.719358742648952330e+02,2.318038228371866580e+02,5.200000000000000000e+01
1.045466270164452816e+01,2.467327187552939893e+00,2.318038228371867717e+02,5.719358742648959151e+02,5.200000000000000000e+01
1.077681793231035812e+01,1.581027605066205322e+00,2.641752541412266737e+02,4.176683693726597539e+02,3.900000000000000000e+01
1.077681793231035812e+01,1.581027605066203101e+00,4.176683693726600382e+02,2.641752541412272421e+02,3.900000000000000000e+01
1.077681793231035812e+01,1.581027605066202213e+00,2.641752541412273558e+02,4.176683693726600382e+02,3.900000000000000000e+01
1.077681793231035812e+01,1.581027605066203545e+00,4.176683693726599245e+02,2.641752541412270716e+02,3.900000000000000000e+01
1.007574557580673691e+01,2.354878926369539549e+00,5.377256688501096278e+02,2.283453568796033153e+02,4.100000000000000000e+01
1.007574557580673691e+01,2.354878926369538661e+00,2.283453568796034574e+02,5.377256688501097415e+02,4.100000000000000000e+01
1.007574557580673691e+01,2.354878926369538217e+00,5.377256688501095141e+02,2.283453568796034006e+02,4.100000000000000000e+01
1.007574557580673691e+01,2.354878926369539993e+00,2.283453568796033153e+02,5.377256688501097415e+02,4.100000000000000000e+01
1.105934500707854440e+01,2.235947251397282010e+00,6.520852462937443761e+02,2.916371331596686787e+02,5.400000000000000000e+01
1.105934500707854440e+01,2.235947251397284230e+00,2.916371331596684513e+02,6.520852462937443761e+02,5.400000000000000000e+01
1.105934500707854440e+01,2.235947251397283786e+00,6.520852462937447171e+02,2.916371331596686218e+02,5.400000000000000000e+01
1.107918239722576814e+01,2.249743271840304093e+00,2.894094706656027256e+02,6.510970094368035461e+02,5.400000000000000000e+01
8.271270425948726412e+00,1.954183054418180410e+00,2.745762820421639958e+02,1.405069404431580722e+02,4.000000000000000000e+01
8.271270425948726412e+00,1.954183054418180854e+00,1.405069404431581574e+02,2.745762820421642232e+02,4.000000000000000000e+01
8.271270425948726412e+00,1.954183054418181964e+00,2.745762820421645642e+02,1.405069404431582427e+02,4.000000000000000000e+01
8.271270425948726412e+00,1.954183054418182630e+00,1.405069404431579869e+02,2.745762820421641095e+02,4.000000000000000000e+01
9.554980690624145012e+00,2.056211914501353100e+00,4.429350209110688184e+02,2.154131185542147477e+02,4.300000000000000000e+01
9.554980690624145012e+00,2.056211914501352656e+00,2.154131185542146341e+02,4.429350209110685341e+02,4.300000000000000000e+01
9.554980690624145012e+00,2.056211914501353544e+00,4.429350209110691594e+02,2.154131185542148614e+02,4.300000000000000000e+01
9.554980690624145012e+00,2.056211914501351767e+00,2.154131185542146625e+02,4.429350209110683636e+02,4.300000000000000000e+01
1.067095999397088768e+01,1.169749927291172220e+00,3.580018434570745285e+02,3.060498958833970278e+02,4.100000000000000000e+01
1.067095999397088768e+01,1.169749927291172220e+00,3.060498958833970278e+02,3.580018434570745285e+02,4.100000000000000000e+01
1.067095999397088768e+01,1.169749927291172220e+00,3.580018434570744716e+02,3.060498958833970278e+02,4.100000000000000000e+01
1.067095999397088768e+01,1.169749927291171776e+00,3.060498958833972551e+02,3.580018434570746422e+02,4.100000000000000000e+01
9.071929277649243062e+00,3.074397614565178127e+00,4.472554936400487122e+02,1.454774397173429747e+02,4.100000000000000000e+01
9.071929277649243062e+00,3.074397614565177683e+00,1.454774397173430316e+02,4.472554936400488828e+02,4.100000000000000000e+01
9.071929277649243062e+00,3.074397614565179460e+00,4.472554936400491101e+02,1.454774397173430316e+02,4.100000000000000000e+01
9.071929277649243062e+00,3.074397614565180348e+00,1.454774397173429747e+02,4.472554936400490533e+02,4.100000000000000000e+01
9.849417335344153202e+00,1.550112342099913221e+00,5.225561768818084829e+02,3.371085841261735254e+02,4.700000000000000000e+01
9.849417335344153202e+00,1.550112342099912777e+00,3.371085841261732412e+02,5.225561768818079145e+02,4.700000000000000000e+01
9.849417335344153202e+00,1.550112342099911444e+00,5.225561768818076871e+02,3.371085841261734117e+02,4.700000000000000000e+01
9.849417335344153202e+00,1.550112342099909668e+00,3.371085841261739233e+02,5.225561768818079145e+02,4.700000000000000000e+01
7.656847914225108909e+00,1.744834809432976863e+00,1.229865857572683296e+02,2.145912759225957700e+02,2.600000000000000000e+01
7.656847914225108909e+00,1.744834809432977085e+00,2.145912759225957416e+02,1.229865857572683012e+02,2.600000000000000000e+01
7.656847914225108909e+00,1.744834809432983747e+00,1.229865857572676475e+02,2.145912759225954005e+02,2.600000000000000000e+01
7.656847914225108909e+00,1.744834809432977307e+00,2.145912759225957700e+02,1.229865857572683012e+02,2.600000000000000000e+01
6.668028351446818824e+00,1.536439788762329117e+00,1.254567392683533313e+02,1.927567259802794126e+02,3.600000000000000000e+01
6.668028351446818824e+00,1.536439788762329117e+00,1.927567259802794979e+02,1.254567392683534024e+02,3.600000000000000000e+01
6.668028351446818824e+00,1.536439788762328451e+00,1.254567392683534877e+02,1.927567259802795547e+02,3.600000000000000000e+01
6.668028351446818824e+00,1.536439788762328451e+00,1.927567259802795547e+02,1.254567392683534877e+02,3.600000000000000000e+01
7.852060098946724409e+00,1.710257495424426955e+00,1.236896604818175831e+02,2.115411689455310693e+02,2.400000000000000000e+01
7.852060098946724409e+00,1.710257495424426510e+00,2.115411689455312398e+02,1.236896604818177252e+02,2.400000000000000000e+01
7.852060098946724409e+00,1.710257495424426066e+00,1.236896604818176684e+02,2.115411689455310977e+02,2.400000000000000000e+01
7.852060098946724409e+00,1.710257495424424290e+00,2.115411689455309840e+02,1.236896604818177394e+02,2.400000000000000000e+01
7.458624536558760454e+00,2.531719058874362993e+00,1.128773290602884600e+02,2.857736852967652794e+02,4.300000000000000000e+01
7.458624536558760454e+00,2.531719058874360773e+00,2.857736852967653931e+02,1.128773290602886021e+02,4.300000000000000000e+01
7.458624536558760454e+00,2.531719058874363881e+00,1.128773290602884174e+02,2.857736852967652794e+02,4.300000000000000000e+01
7.458624536558760454e+00,2.531719058874365214e+00,2.857736852967651657e+02,1.128773290602883179e+02,4.300000000000000000e+01
8.179164100886964661e+00,1.919052923050262649e+00,1.507507609236421331e+02,2.892986884025667109e+02,3.700000000000000000e+01
8.179164100886964661e+00,1.919052923050257320e+00,2.892986884025668246e+02,1.507507609236425878e+02,3.700000000000000000e+01
8.179164100886964661e+00,1.919052923050258874e+00,1.507507609236424173e+02,2.892986884025667109e+02,3.700000000000000000e+01
8.179164100886964661e+00,1.919052923050257320e+00,2.892986884025666541e+02,1.507507609236425026e+02,3.700000000000000000e+01
7.759793245276489060e+00,2.572917262827611573e+00,1.090649770172380499e+02,2.806151621375485092e+02,3.500000000000000000e+01
7.759793245276489060e+00,2.572917262827608909e+00,2.806151621375480545e+02,1.090649770172379931e+02,3.500000000000000000e+01
