white,black
1.294000000000000000e+03,7.922000000000000000e+03
1.294000000000000000e+03,7.922000000000000000e+03
1.294000000000000000e+03,7.922000000000000000e+03
1.294000000000000000e+03,7.922000000000000000e+03
9.600000000000000000e+02,5.440000000000000000e+03
9.600000000000000000e+02,5.440000000000000000e+03
9.600000000000000000e+02,5.124000000000000000e+03
9.600000000000000000e+02,5.124000000000000000e+03
1.067000000000000000e+03,7.397000000000000000e+03
1.067000000000000000e+03,7.397000000000000000e+03
1.067000000000000000e+03,7.033000000000000000e+03
1.067000000000000000e+03,7.033000000000000000e+03
1.228000000000000000e+03,9.588000000000000000e+03
1.228000000000000000e+03,9.588000000000000000e+03
1.228000000000000000e+03,9.176000000000000000e+03
1.228000000000000000e+03,9.176000000000000000e+03
1.130000000000000000e+03,7.706000000000000000e+03
1.130000000000000000e+03,7.706000000000000000e+03
1.130000000000000000e+03,7.334000000000000000e+03
1.130000000000000000e+03,7.334000000000000000e+03
1.401000000000000000e+03,9.415000000000000000e+03
1.401000000000000000e+03,9.003000000000000000e+03
1.401000000000000000e+03,9.003000000000000000e+03
1.401000000000000000e+03,9.003000000000000000e+03
1.389000000000000000e+03,9.015000000000000000e+03
1.389000000000000000e+03,9.015000000000000000e+03
1.389000000000000000e+03,8.611000000000000000e+03
1.389000000000000000e+03,8.611000000000000000e+03
1.127000000000000000e+03,7.337000000000000000e+03
1.127000000000000000e+03,7.337000000000000000e+03
1.127000000000000000e+03,6.973000000000000000e+03
1.127000000000000000e+03,6.973000000000000000e+03
1.141000000000000000e+03,8.075000000000000000e+03
1.141000000000000000e+03,8.075000000000000000e+03
1.141000000000000000e+03,7.695000000000000000e+03
1.141000000000000000e+03,7.695000000000000000e+03
1.137000000000000000e+03,1.052700000000000000e+04
1.137000000000000000e+03,1.052700000000000000e+04
1.137000000000000000e+03,1.009900000000000000e+04
1.137000000000000000e+03,1.009900000000000000e+04
1.284000000000000000e+03,1.038000000000000000e+04
1.284000000000000000e+03,9.952000000000000000e+03
1.284000000000000000e+03,9.532000000000000000e+03
1.284000000000000000e+03,9.952000000000000000e+03
1.086000000000000000e+03,7.378000000000000000e+03
1.086000000000000000e+03,7.378000000000000000e+03
1.086000000000000000e+03,7.014000000000000000e+03
1.086000000000000000e+03,7.014000000000000000e+03
1.308000000000000000e+03,1.123600000000000000e+04
