Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn
1.568334210278617036e+01,3.048798410013901616e+00,6.221292414286792791e+02,2.040571916415564431e+02,5.500000000000000000e+01
1.568334210278617036e+01,3.048798410013893179e+00,2.040571916415568694e+02,6.221292414286789381e+02,5.500000000000000000e+01
1.568334210278617036e+01,3.048798410013901616e+00,6.221292414286792791e+02,2.040571916415564431e+02,5.500000000000000000e+01
1.568334210278617036e+01,3.048798410013902949e+00,2.040571916415562441e+02,6.221292414286789381e+02,5.500000000000000000e+01
9.191944002352700593e+00,4.251610344070467562e+00,3.321098931800511878e+02,7.811390656795022380e+01,4.900000000000000000e+01
9.191944002352700593e+00,4.251610344070475556e+00,7.811390656795009590e+01,3.321098931800512446e+02,4.900000000000000000e+01
9.191944002352700593e+00,4.251610344070472891e+00,3.321098931800512446e+02,7.811390656795013854e+01,4.900000000000000000e+01
9.191944002352700593e+00,4.251610344070469338e+00,7.811390656795018117e+01,3.321098931800511878e+02,4.900000000000000000e+01
1.157758985277107122e+01,4.852102409191461518e+00,4.924659358804373710e+02,1.014953713564549957e+02,5.600000000000000000e+01
1.157758985277107122e+01,4.852102409191470400e+00,1.014953713564547684e+02,4.924659358804371436e+02,5.600000000000000000e+01
1.157758985277107122e+01,4.852102409191454413e+00,4.924659358804361773e+02,1.014953713564549105e+02,5.600000000000000000e+01
1.157758985277107122e+01,4.852102409191465071e+00,1.014953713564548252e+02,4.924659358804368594e+02,5.600000000000000000e+01
1.323941021720137812e+01,3.979774309079159522e+00,6.469191931045128285e+02,1.625517285311078410e+02,4.700000000000000000e+01
1.323941021720137812e+01,3.979774309079157302e+00,1.625517285311077558e+02,6.469191931045121464e+02,4.700000000000000000e+01
1.323941021720137812e+01,3.979774309079166628e+00,6.469191931045139654e+02,1.625517285311078410e+02,4.700000000000000000e+01
1.323941021720137812e+01,3.979774309079146644e+00,1.625517285311080968e+02,6.469191931045118054e+02,4.700000000000000000e+01
1.132401504607073583e+01,2.288108399987242692e+00,4.051380862059713763e+02,1.770624530761873814e+02,6.400000000000000000e+01
1.132401504607073583e+01,2.288108399987244024e+00,1.770624530761872961e+02,4.051380862059713763e+02,6.400000000000000000e+01
1.132401504607073583e+01,2.288108399987243580e+00,4.051380862059716605e+02,1.770624530761874666e+02,6.400000000000000000e+01
1.132401504607073583e+01,2.288108399987240471e+00,1.770624530761876372e+02,4.051380862059715469e+02,6.400000000000000000e+01
1.212372151081602745e+01,3.099783425082742294e+00,5.304217667237562637e+02,1.711157503558810049e+02,8.400000000000000000e+01
1.212372151081602745e+01,3.099783425082741406e+00,1.711157503558809481e+02,5.304217667237560363e+02,8.400000000000000000e+01
1.212372151081602745e+01,3.099783425082737409e+00,5.304217667237553542e+02,1.711157503558809765e+02,8.400000000000000000e+01
1.212372151081602745e+01,3.099783425082741406e+00,1.711157503558809481e+02,5.304217667237560363e+02,8.400000000000000000e+01
1.537260293383359588e+01,3.171727612373711924e+00,5.615093148619278054e+02,1.770357935755068866e+02,6.200000000000000000e+01
1.537260293383359588e+01,3.171727612373710148e+00,1.770357935755067729e+02,5.615093148619271233e+02,6.200000000000000000e+01
1.537260293383359588e+01,3.171727612373706151e+00,5.615093148619266685e+02,1.770357935755068581e+02,6.200000000000000000e+01
1.537260293383359588e+01,3.171727612373710592e+00,1.770357935755067729e+02,5.615093148619272370e+02,6.200000000000000000e+01
1.204387732397581878e+01,4.169158537618366189e+00,4.871272740013665157e+02,1.168406693115676660e+02,4.900000000000000000e+01
1.204387732397581878e+01,4.169158537618365301e+00,1.168406693115676944e+02,4.871272740013665157e+02,4.900000000000000000e+01
1.204387732397581878e+01,4.169158537618366189e+00,4.871272740013666294e+02,1.168406693115676802e+02,4.900000000000000000e+01
1.204387732397581878e+01,4.169158537618357308e+00,1.168406693115679218e+02,4.871272740013666294e+02,4.900000000000000000e+01
1.183856120078469942e+01,5.451973142432468222e+00,5.304324647040491527e+02,9.729183377220194018e+01,5.100000000000000000e+01
1.183856120078469942e+01,5.451973142432474440e+00,9.729183377220198281e+01,5.304324647040499485e+02,5.100000000000000000e+01
1.183856120078469942e+01,5.451973142432477992e+00,5.304324647040499485e+02,9.729183377220191176e+01,5.100000000000000000e+01
1.183856120078469942e+01,5.451973142432470887e+00,9.729183377220203965e+01,5.304324647040499485e+02,5.100000000000000000e+01
1.182260868162975065e+01,5.050006359427904101e+00,6.459309949466731950e+02,1.279069666399090011e+02,4.700000000000000000e+01
1.182260868162975065e+01,5.050006359427902325e+00,1.279069666399090011e+02,6.459309949466729677e+02,4.700000000000000000e+01
1.182260868162975065e+01,5.050006359427902325e+00,6.459309949466729677e+02,1.279069666399090011e+02,4.700000000000000000e+01
1.182260868162975065e+01,5.050006359427902325e+00,1.279069666399090011e+02,6.459309949466729677e+02,4.700000000000000000e+01
1.374886749628082327e+01,3.524847406946365336e+00,5.914730267449681378e+02,1.678010303593173660e+02,5.500000000000000000e+01
1.374886749628082327e+01,3.524847406946368000e+00,1.678010303593170534e+02,5.914730267449674557e+02,5.500000000000000000e+01
1.374886749628082327e+01,3.524847406946366668e+00,5.914730267449683652e+02,1.678010303593173660e+02,5.500000000000000000e+01
1.374886749628082327e+01,3.524847406946365336e+00,1.678010303593172239e+02,5.914730267449676830e+02,5.500000000000000000e+01
1.190064233545655092e+01,5.144563552551406183e+00,5.405300272462703788e+02,1.050681990269512198e+02,5.100000000000000000e+01
1.190064233545655092e+01,5.144563552551414176e+00,1.050681990269511061e+02,5.405300272462706062e+02,5.100000000000000000e+01
1.190064233545655092e+01,5.144563552551408847e+00,5.405300272462704925e+02,1.050681990269511914e+02,5.100000000000000000e+01
1.190064233545655092e+01,5.144563552551408847e+00,1.050681990269512198e+02,5.405300272462706062e+02,5.100000000000000000e+01
1.372680964644835022e+01,3.455766140663231401e+00,7.247220557692328384e+02,2.097138597550307679e+02,5.000000000000000000e+01
1.372680964644835022e+01,3.455766140663237174e+00,2.097138597550306827e+02,7.247220557692338616e+02,5.000000000000000000e+01
1.372680964644835022e+01,3.455766140663237618e+00,7.247220557692339753e+02,2.097138597550307111e+02,5.000000000000000000e+01
1.372680964644835022e+01,3.455766140663237174e+00,2.097138597550307395e+02,7.247220557692339753e+02,5.000000000000000000e+01
1.272416806323870908e+01,3.298656570087822093e+00,5.416266386644672366e+02,1.641961286833952443e+02,5.900000000000000000e+01
1.272416806323870908e+01,3.298656570087826534e+00,1.641961286833953295e+02,5.416266386644682598e+02,5.900000000000000000e+01
1.272416806323870908e+01,3.298656570087835860e+00,5.416266386644700788e+02,1.641961286833954148e+02,5.900000000000000000e+01
1.272416806323870908e+01,3.298656570087828310e+00,1.641961286833952727e+02,5.416266386644683735e+02,5.900000000000000000e+01
1.209754879155146945e+01,2.461327604163004779e+00,3.841715908263915367e+02,1.560830789760034065e+02,4.900000000000000000e+01
1.209754879155146945e+01,2.461327604163010108e+00,1.560830789760032076e+02,3.841715908263918777e+02,4.900000000000000000e+01
1.209754879155146945e+01,2.461327604163010996e+00,3.841715908263922756e+02,1.560830789760033213e+02,4.900000000000000000e+01
1.209754879155146945e+01,2.461327604163009664e+00,1.560830789760032076e+02,3.841715908263917640e+02,4.900000000000000000e+01
1.476863245386509149e+01,2.420376580612861428e+00,4.858344914834009387e+02,2.007268188656755399e+02,6.000000000000000000e+01
1.476863245386509149e+01,2.420376580612863648e+00,2.007268188656756251e+02,4.858344914834015640e+02,6.000000000000000000e+01
1.476863245386509149e+01,2.420376580612864981e+00,4.858344914834019050e+02,2.007268188656756251e+02,6.000000000000000000e+01
1.476863245386509149e+01,2.420376580612858763e+00,2.007268188656760231e+02,4.858344914834016208e+02,6.000000000000000000e+01
1.465969640205348234e+01,4.063913596404033157e+00,5.816852656544839419e+02,1.431342600810189367e+02,6.000000000000000000e+01
1.465969640205348234e+01,4.063913596404032269e+00,1.431342600810189651e+02,5.816852656544839419e+02,6.000000000000000000e+01
1.465969640205348234e+01,4.063913596404038486e+00,5.816852656544845104e+02,1.431342600810189083e+02,6.000000000000000000e+01
1.465969640205348234e+01,4.063913596404026940e+00,1.431342600810191925e+02,5.816852656544840556e+02,6.000000000000000000e+01
1.358217147385204804e+01,3.223247587424308058e+00,4.696151224701873161e+02,1.456962612187840023e+02,6.500000000000000000e+01
1.358217147385204804e+01,3.223247587424304506e+00,1.456962612187842296e+02,4.696151224701875435e+02,6.500000000000000000e+01
1.358217147385204804e+01,3.223247587424308502e+00,4.696151224701877709e+02,1.456962612187841160e+02,6.500000000000000000e+01
1.358217147385204804e+01,3.223247587424307170e+00,1.456962612187841160e+02,4.696151224701875435e+02,6.500000000000000000e+01
