white,black
5.840000000000000000e+02,2.332000000000000000e+03
5.840000000000000000e+02,2.120000000000000000e+03
5.840000000000000000e+02,2.120000000000000000e+03
5.840000000000000000e+02,2.332000000000000000e+03
5.250000000000000000e+02,2.391000000000000000e+03
5.250000000000000000e+02,2.391000000000000000e+03
5.250000000000000000e+02,2.179000000000000000e+03
5.250000000000000000e+02,2.179000000000000000e+03
5.620000000000000000e+02,2.354000000000000000e+03
5.620000000000000000e+02,2.354000000000000000e+03
5.620000000000000000e+02,2.574000000000000000e+03
5.620000000000000000e+02,2.574000000000000000e+03
5.890000000000000000e+02,3.767000000000000000e+03
5.890000000000000000e+02,3.507000000000000000e+03
5.890000000000000000e+02,3.507000000000000000e+03
5.890000000000000000e+02,3.767000000000000000e+03
4.910000000000000000e+02,2.213000000000000000e+03
4.910000000000000000e+02,2.213000000000000000e+03
4.910000000000000000e+02,2.009000000000000000e+03
4.910000000000000000e+02,2.009000000000000000e+03
5.840000000000000000e+02,1.916000000000000000e+03
5.840000000000000000e+02,2.120000000000000000e+03
5.840000000000000000e+02,2.332000000000000000e+03
5.840000000000000000e+02,2.120000000000000000e+03
4.270000000000000000e+02,1.689000000000000000e+03
4.270000000000000000e+02,1.689000000000000000e+03
4.270000000000000000e+02,1.877000000000000000e+03
4.270000000000000000e+02,1.877000000000000000e+03
4.250000000000000000e+02,1.879000000000000000e+03
4.250000000000000000e+02,2.075000000000000000e+03
4.250000000000000000e+02,1.879000000000000000e+03
4.250000000000000000e+02,1.879000000000000000e+03
3.710000000000000000e+02,1.229000000000000000e+03
3.710000000000000000e+02,1.393000000000000000e+03
3.710000000000000000e+02,1.229000000000000000e+03
3.710000000000000000e+02,1.229000000000000000e+03
4.420000000000000000e+02,2.262000000000000000e+03
4.420000000000000000e+02,2.474000000000000000e+03
4.420000000000000000e+02,2.474000000000000000e+03
4.420000000000000000e+02,2.474000000000000000e+03
4.870000000000000000e+02,1.817000000000000000e+03
4.870000000000000000e+02,1.817000000000000000e+03
4.870000000000000000e+02,1.817000000000000000e+03
4.870000000000000000e+02,1.817000000000000000e+03
4.400000000000000000e+02,1.496000000000000000e+03
4.400000000000000000e+02,1.676000000000000000e+03
4.400000000000000000e+02,1.676000000000000000e+03
4.400000000000000000e+02,1.676000000000000000e+03
6.320000000000000000e+02,2.732000000000000000e+03
6.320000000000000000e+02,2.732000000000000000e+03
6.320000000000000000e+02,2.732000000000000000e+03
6.320000000000000000e+02,2.968000000000000000e+03
5.650000000000000000e+02,2.139000000000000000e+03
5.650000000000000000e+02,2.351000000000000000e+03
5.650000000000000000e+02,2.351000000000000000e+03
5.650000000000000000e+02,2.351000000000000000e+03
4.860000000000000000e+02,1.450000000000000000e+03
4.860000000000000000e+02,1.450000000000000000e+03
4.860000000000000000e+02,1.450000000000000000e+03
4.860000000000000000e+02,1.278000000000000000e+03
4.730000000000000000e+02,1.643000000000000000e+03
4.730000000000000000e+02,1.643000000000000000e+03
4.730000000000000000e+02,1.463000000000000000e+03
4.730000000000000000e+02,1.463000000000000000e+03
6.390000000000000000e+02,2.277000000000000000e+03
6.390000000000000000e+02,2.277000000000000000e+03
6.390000000000000000e+02,2.277000000000000000e+03
6.390000000000000000e+02,2.065000000000000000e+03
