Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn
6.655211109204846487e+00,1.063560045355030237e+00,1.529378107053979647e+02,1.437980031060167505e+02,2.300000000000000000e+01
6.655211109204846487e+00,1.063560045355030015e+00,1.437980031060168074e+02,1.529378107053979932e+02,2.300000000000000000e+01
6.655211109204846487e+00,1.063560045355030459e+00,1.529378107053979932e+02,1.437980031060167505e+02,2.300000000000000000e+01
6.655211109204846487e+00,1.063560045355030681e+00,1.437980031060166937e+02,1.529378107053979647e+02,2.300000000000000000e+01
6.002566572744902018e+00,1.267880133771310147e+00,1.489405260592690752e+02,1.174720875357873240e+02,1.500000000000000000e+01
6.002566572744902018e+00,1.267880133771309925e+00,1.174720875357873666e+02,1.489405260592691036e+02,1.500000000000000000e+01
6.002566572744902018e+00,1.267880133771309481e+00,1.489405260592689615e+02,1.174720875357872814e+02,1.500000000000000000e+01
6.002566572744902018e+00,1.267880133771309925e+00,1.174720875357873666e+02,1.489405260592691036e+02,1.500000000000000000e+01
6.185095257292776871e+00,1.834542020038312904e+00,1.755515267708694580e+02,9.569228987581500689e+01,1.900000000000000000e+01
6.185095257292776871e+00,1.834542020038316679e+00,9.569228987581485057e+01,1.755515267708695433e+02,1.900000000000000000e+01
6.185095257292776871e+00,1.834542020038313570e+00,1.755515267708695433e+02,9.569228987581502111e+01,1.900000000000000000e+01
6.185095257292776871e+00,1.834542020038311572e+00,9.569228987581510637e+01,1.755515267708695148e+02,1.900000000000000000e+01
7.271948775023918010e+00,2.019509583590890500e+00,1.114927340082966793e+02,2.251606448305051345e+02,3.000000000000000000e+01
7.271948775023918010e+00,2.019509583590890056e+00,2.251606448305052481e+02,1.114927340082967504e+02,3.000000000000000000e+01
7.271948775023918010e+00,2.019509583590884283e+00,1.114927340082971057e+02,2.251606448305052766e+02,3.000000000000000000e+01
7.271948775023918010e+00,2.019509583590891388e+00,2.251606448305053050e+02,1.114927340082967220e+02,3.000000000000000000e+01
6.944633560636072289e+00,1.586978525532584117e+00,1.447998826165520541e+02,9.124249653470121757e+01,2.100000000000000000e+01
