white,black
1.087000000000000000e+03,1.379700000000000000e+04
1.087000000000000000e+03,1.379700000000000000e+04
1.087000000000000000e+03,1.379700000000000000e+04
1.087000000000000000e+03,1.331300000000000000e+04
1.100000000000000000e+03,1.100000000000000000e+04
1.100000000000000000e+03,1.100000000000000000e+04
1.100000000000000000e+03,1.056400000000000000e+04
1.100000000000000000e+03,1.056400000000000000e+04
1.270000000000000000e+03,9.966000000000000000e+03
1.270000000000000000e+03,1.039400000000000000e+04
1.270000000000000000e+03,9.966000000000000000e+03
1.270000000000000000e+03,9.546000000000000000e+03
1.173000000000000000e+03,9.231000000000000000e+03
1.173000000000000000e+03,9.643000000000000000e+03
1.173000000000000000e+03,9.231000000000000000e+03
1.173000000000000000e+03,9.231000000000000000e+03
1.071000000000000000e+03,1.285300000000000000e+04
1.071000000000000000e+03,1.285300000000000000e+04
1.071000000000000000e+03,1.238500000000000000e+04
1.071000000000000000e+03,1.238500000000000000e+04
1.002000000000000000e+03,1.154200000000000000e+04
1.002000000000000000e+03,1.199400000000000000e+04
1.002000000000000000e+03,1.154200000000000000e+04
1.002000000000000000e+03,1.154200000000000000e+04
1.339000000000000000e+03,1.608500000000000000e+04
1.339000000000000000e+03,1.661700000000000000e+04
1.339000000000000000e+03,1.608500000000000000e+04
1.339000000000000000e+03,1.556100000000000000e+04
1.277000000000000000e+03,1.360700000000000000e+04
1.277000000000000000e+03,1.409900000000000000e+04
1.277000000000000000e+03,1.360700000000000000e+04
1.277000000000000000e+03,1.312300000000000000e+04
1.162000000000000000e+03,1.323800000000000000e+04
1.162000000000000000e+03,1.323800000000000000e+04
1.162000000000000000e+03,1.276200000000000000e+04
1.162000000000000000e+03,1.276200000000000000e+04
1.103000000000000000e+03,1.099700000000000000e+04
1.103000000000000000e+03,1.099700000000000000e+04
1.103000000000000000e+03,1.056100000000000000e+04
1.103000000000000000e+03,1.056100000000000000e+04
1.089000000000000000e+03,1.686700000000000000e+04
1.089000000000000000e+03,1.740700000000000000e+04
1.089000000000000000e+03,1.686700000000000000e+04
1.089000000000000000e+03,1.633500000000000000e+04
9.910000000000000000e+02,9.413000000000000000e+03
9.910000000000000000e+02,9.413000000000000000e+03
9.910000000000000000e+02,9.009000000000000000e+03
9.910000000000000000e+02,9.009000000000000000e+03
1.060000000000000000e+03,1.286400000000000000e+04
1.060000000000000000e+03,1.286400000000000000e+04
1.060000000000000000e+03,1.286400000000000000e+04
1.060000000000000000e+03,1.239600000000000000e+04
1.023000000000000000e+03,1.107700000000000000e+04
1.023000000000000000e+03,1.107700000000000000e+04
1.023000000000000000e+03,1.064100000000000000e+04
1.023000000000000000e+03,1.064100000000000000e+04
1.223000000000000000e+03,1.366100000000000000e+04
1.223000000000000000e+03,1.415300000000000000e+04
1.223000000000000000e+03,1.366100000000000000e+04
1.223000000000000000e+03,1.317700000000000000e+04
1.180000000000000000e+03,1.322000000000000000e+04
1.180000000000000000e+03,1.370400000000000000e+04
1.180000000000000000e+03,1.322000000000000000e+04
1.180000000000000000e+03,1.274400000000000000e+04
1.293000000000000000e+03,1.775100000000000000e+04
1.302000000000000000e+03,1.829800000000000000e+04
1.302000000000000000e+03,1.774200000000000000e+04
1.293000000000000000e+03,1.775100000000000000e+04
9.840000000000000000e+02,8.232000000000000000e+03
9.840000000000000000e+02,8.232000000000000000e+03
9.840000000000000000e+02,7.852000000000000000e+03
9.840000000000000000e+02,7.852000000000000000e+03
1.283000000000000000e+03,1.459300000000000000e+04
1.283000000000000000e+03,1.510100000000000000e+04
1.283000000000000000e+03,1.459300000000000000e+04
1.283000000000000000e+03,1.409300000000000000e+04
1.185000000000000000e+03,1.273900000000000000e+04
1.185000000000000000e+03,1.273900000000000000e+04
1.185000000000000000e+03,1.227100000000000000e+04
1.185000000000000000e+03,1.227100000000000000e+04
8.450000000000000000e+02,7.255000000000000000e+03
8.450000000000000000e+02,7.255000000000000000e+03
8.450000000000000000e+02,6.899000000000000000e+03
8.450000000000000000e+02,6.899000000000000000e+03
9.720000000000000000e+02,8.632000000000000000e+03
9.720000000000000000e+02,8.632000000000000000e+03
9.720000000000000000e+02,8.244000000000000000e+03
9.720000000000000000e+02,8.244000000000000000e+03
9.830000000000000000e+02,6.761000000000000000e+03
9.830000000000000000e+02,7.117000000000000000e+03
9.830000000000000000e+02,6.761000000000000000e+03
9.830000000000000000e+02,6.413000000000000000e+03
8.390000000000000000e+02,6.557000000000000000e+03
8.390000000000000000e+02,6.557000000000000000e+03
8.390000000000000000e+02,6.217000000000000000e+03
8.390000000000000000e+02,6.217000000000000000e+03
8.950000000000000000e+02,6.501000000000000000e+03
8.950000000000000000e+02,6.849000000000000000e+03
8.950000000000000000e+02,6.501000000000000000e+03
8.950000000000000000e+02,6.161000000000000000e+03
1.099000000000000000e+03,8.505000000000000000e+03
1.099000000000000000e+03,8.505000000000000000e+03
1.099000000000000000e+03,8.117000000000000000e+03
1.099000000000000000e+03,8.117000000000000000e+03
1.056000000000000000e+03,8.160000000000000000e+03
1.056000000000000000e+03,8.160000000000000000e+03
1.056000000000000000e+03,7.780000000000000000e+03
1.056000000000000000e+03,7.780000000000000000e+03
9.320000000000000000e+02,6.124000000000000000e+03
9.320000000000000000e+02,6.124000000000000000e+03
9.320000000000000000e+02,5.792000000000000000e+03
9.320000000000000000e+02,5.792000000000000000e+03
1.093000000000000000e+03,1.014300000000000000e+04
1.093000000000000000e+03,1.014300000000000000e+04
1.106000000000000000e+03,9.710000000000000000e+03
1.106000000000000000e+03,9.710000000000000000e+03
1.009000000000000000e+03,6.387000000000000000e+03
1.009000000000000000e+03,6.735000000000000000e+03
1.009000000000000000e+03,6.387000000000000000e+03
1.009000000000000000e+03,6.047000000000000000e+03
