Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn
8.865823472033529384e+00,3.361502780156766512e+00,6.134002230739852166e+02,1.824779758312080844e+02,4.600000000000000000e+01
8.865823472033529384e+00,3.361502780156771841e+00,1.824779758312076865e+02,6.134002230739848756e+02,4.600000000000000000e+01
8.865823472033529384e+00,3.361502780156767400e+00,6.134002230739856714e+02,1.824779758312081697e+02,4.600000000000000000e+01
8.865823472033529384e+00,3.361502780156770509e+00,1.824779758312079139e+02,6.134002230739853303e+02,4.600000000000000000e+01
9.637916951553526346e+00,1.954980974227921831e+00,4.800197371948212890e+02,2.455367819548192188e+02,4.800000000000000000e+01
9.637916951553526346e+00,1.954980974227922719e+00,2.455367819548189914e+02,4.800197371948210616e+02,4.800000000000000000e+01
9.637916951553526346e+00,1.954980974227922275e+00,4.800197371948211753e+02,2.455367819548191051e+02,4.800000000000000000e+01
9.637916951553526346e+00,1.954980974227921386e+00,2.455367819548192188e+02,4.800197371948212322e+02,4.800000000000000000e+01
1.218606790844681065e+01,2.138199576767554344e+00,2.687459459313751040e+02,5.746324678484622837e+02,7.500000000000000000e+01
1.218606790844681065e+01,2.138199576767553900e+00,5.746324678484625110e+02,2.687459459313752745e+02,7.500000000000000000e+01
1.218606790844681065e+01,2.138199576767553900e+00,2.687459459313752177e+02,5.746324678484623973e+02,7.500000000000000000e+01
1.218606790844681065e+01,2.138199576767553456e+00,5.746324678484627384e+02,2.687459459313754451e+02,7.500000000000000000e+01
1.042471661350085554e+01,1.909704338152810488e+00,2.311391563981382546e+02,4.414074496905055867e+02,4.200000000000000000e+01
1.042471661350085554e+01,1.909704338152811598e+00,4.414074496905055867e+02,2.311391563981381410e+02,4.200000000000000000e+01
1.042471661350085554e+01,1.909704338152811154e+00,2.311391563981383399e+02,4.414074496905059277e+02,4.200000000000000000e+01
1.042471661350085554e+01,1.909704338152809822e+00,4.414074496905057572e+02,2.311391563981384252e+02,4.200000000000000000e+01
8.895141534635547131e+00,1.792131270420715738e+00,5.531398239085149271e+02,3.086491670772874727e+02,5.300000000000000000e+01
8.895141534635547131e+00,1.792131270420716183e+00,3.086491670772873022e+02,5.531398239085148134e+02,5.300000000000000000e+01
8.895141534635547131e+00,1.792131270420715738e+00,5.531398239085149271e+02,3.086491670772874727e+02,5.300000000000000000e+01
8.895141534635547131e+00,1.792131270420715516e+00,3.086491670772874727e+02,5.531398239085149271e+02,5.300000000000000000e+01
7.582970619439749704e+00,2.100463071186029040e+00,5.406600656885700573e+02,2.574004147491560843e+02,3.400000000000000000e+01
7.582970619439749704e+00,2.100463071186028152e+00,2.574004147491561412e+02,5.406600656885699436e+02,3.400000000000000000e+01
7.582970619439749704e+00,2.100463071186028152e+00,5.406600656885696026e+02,2.574004147491559706e+02,3.400000000000000000e+01
7.582970619439749704e+00,2.100463071186029040e+00,2.574004147491560843e+02,5.406600656885700573e+02,3.400000000000000000e+01
1.083590799813375050e+01,1.629293274006240910e+00,6.947988821573915175e+02,4.264418771268616410e+02,5.700000000000000000e+01
1.083590799813375050e+01,1.629293274006242020e+00,4.264418771268611863e+02,6.947988821573911764e+02,5.700000000000000000e+01
